student_id,student_name,neighborhood,latitude,longitude,grade,cluster
1,Omar,Bahria Town Phase 8,33.532793,73.161511,7,0
2,Omar,Bahria Town Phase 8,33.53635,73.153433,5,0
3,Ayesha,Bahria Town Phase 8,33.540659,73.155918,8,0
4,Sara,Bahria Town Phase 8,33.527703,73.157852,4,0
5,Mahnoor,Bahria Town Phase 8,33.529709,73.149234,4,0
6,Hamza,Bahria Town Phase 8,33.535196,73.153211,5,0
7,Iqra,Bahria Town Phase 8,33.53659,73.148532,8,0
8,Mahnoor,Bahria Town Phase 8,33.52825,73.156194,6,0
9,Zain,Bahria Town Phase 8,33.536279,73.147043,7,0
10,Amna,Bahria Town Phase 8,33.534008,73.146512,4,0
11,Ahmed,Bahria Town Phase 8,33.532967,73.146555,6,0
12,Mahnoor,Bahria Town Phase 8,33.530656,73.157232,7,0
13,Hamza,Bahria Town Phase 8,33.540131,73.149074,6,0
14,Sara,Bahria Town Phase 8,33.529716,73.158386,8,0
15,Noor,Bahria Town Phase 8,33.535547,73.149258,4,0
16,Zainab,Bahria Town Phase 8,33.533996,73.152622,8,0
17,Amna,Bahria Town Phase 8,33.538436,73.151525,6,0
18,Iqra,Bahria Town Phase 8,33.527524,73.151505,7,0
19,Faizan,Bahria Town Phase 8,33.531142,73.15956,3,0
20,Bilal,Bahria Town Phase 8,33.53154,73.148944,3,0
21,Omar,Bahria Town Phase 8,33.539156,73.149479,5,0
22,Ali,Bahria Town Phase 8,33.53811,73.157964,5,0
23,Usman,Bahria Town Phase 8,33.527985,73.152035,6,0
24,Ahmed,Bahria Town Phase 8,33.54061,73.156273,3,0
25,Hassan,Bahria Town Phase 8,33.527817,73.151276,5,0
26,Ayesha,Bahria Town Phase 8,33.536261,73.150696,3,0
27,Ayesha,Bahria Town Phase 8,33.532927,73.161847,3,0
28,Amna,Bahria Town Phase 8,33.538348,73.150076,5,0
29,Hira,Bahria Town Phase 8,33.535164,73.153141,6,0
30,Bilal,Bahria Town Phase 8,33.528526,73.146803,3,0
31,Hassan,G-11 Islamabad,33.67593,72.974537,7,1
32,Faizan,G-11 Islamabad,33.679537,72.969649,5,1
